State_ID,plant_id,plant_name,min_height(ft),max_height(ft),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),Current_Market_Price_MMK_per_kg,Price_Unit
BGO,41,Bottle gourd,6,20,6,1.5,0.8,1,"1,531",MMK/kg
YGN,41,Bottle gourd,6,20,6,1.5,0.8,1,"1,531",MMK/kg
MDY,42,Spinach,0.3,1,1,0.2,0.1,1,"2,143",MMK/kg
SAG,42,Spinach,0.3,1,1,0.2,0.1,1,"2,143",MMK/kg
SHN_S,42,Spinach,0.3,1,1,0.2,0.1,1,"2,143",MMK/kg
SHN_S,43,Tealeaf,5,15,12,3,2,40,"9,798",MMK/kg
SHN_S,44,Broccoli,1,3,3,0.8,0.4,2,"5,205",MMK/kg
CHN,44,Broccoli,1,3,3,0.8,0.4,2,"5,205",MMK/kg
BGO,45,Teak,98,148,70,50,65,200,"8,500",MMK/kg
SAG,45,Teak,98,148,70,50,65,200,"8,500",MMK/kg
SHN_S,45,Teak,98,148,70,50,65,200,"8,500",MMK/kg
BGO,46,Padauk,30,120,400,30,190,100,"9,500",MMK/kg
MAG,46,Padauk,30,120,400,30,190,100,"9,500",MMK/kg
MDY,46,Padauk,30,120,400,30,190,100,"9,500",MMK/kg
YGN,46,Padauk,30,120,400,30,190,100,"9,500",MMK/kg
AYY,47,Pomelo,15,50,30,30,40,65,"3,500",MMK/kg
AYY,47,Pomelo,15,50,30,30,40,65,"3,500",MMK/kg
BGO,47,Pomelo,15,50,30,30,40,65,"3,500",MMK/kg
MON,47,Pomelo,15,50,30,30,40,65,"3,500",MMK/kg
MAG,48,Tamarind,82,98,50,25,117,60,"3,981",MMK/kg
MDY,48,Tamarind,82,98,50,25,117,60,"3,981",MMK/kg
MAG,50,Neem,40,80,25,25,70,150,"5,000",MMK/kg
MDY,50,Neem,40,80,25,25,70,150,"5,000",MMK/kg
SAG,50,Neem,40,80,25,25,70,150,"5,000",MMK/kg
SHN_S,51,Avocado,15,60,200,25,117,60,"5,205",MMK/kg
SHN_S,52,Pine,50,150,500,30,300,550,"8,000",MMK/kg
KCH,52,Pine,50,150,500,30,300,550,"8,000",MMK/kg
CHN,52,Pine,50,150,500,30,300,550,"8,000",MMK/kg
MON,53,Durian,50,130,400,25,170,100,"21,434",MMK/kg
KAH,53,Durian,50,130,400,25,170,100,"21,434",MMK/kg
TNY,53,Durian,50,130,400,25,170,100,"21,434",MMK/kg
TNY,54,Burmese Iron Wood,98,131,60,40,60,200,"4,500",MMK/kg
MON,54,Burmese Iron Wood,98,131,60,40,60,200,"4,500",MMK/kg
RKE,54,Burmese Iron Wood,98,131,60,40,60,200,"4,500",MMK/kg
MDY,55,Lead tree,10,50,16,20,15,30,"5,000",MMK/kg
MAG,55,Lead tree,10,50,16,20,15,30,"5,000",MMK/kg
MON,56,Rubber,50,138,64,45,30,65,"4,287",MMK/kg
KYN,56,Rubber,50,138,64,45,30,65,"4,287",MMK/kg
TNY,56,Rubber,50,138,64,45,30,65,"4,287",MMK/kg
MDY,57,Eucalyptus,30,200,50,70,50,150,"10,000",MMK/kg
SAG,57,Eucalyptus,30,200,50,70,50,150,"10,000",MMK/kg
SHN_S,57,Eucalyptus,30,200,50,70,50,150,"10,000",MMK/kg
MAG,58,Thanakha,10,30,50,15,15,40,"18,372",MMK/kg
YGN,58,Thanakha,10,30,50,15,15,40,"18,372",MMK/kg
SAG,58,Thanakha,10,30,50,15,15,40,"18,372",MMK/kg
MDY,58,Thanakha,10,30,50,15,15,40,"18,372",MMK/kg
RKE,59,Sal tree,50,100,80,45,40,200,"4,000",MMK/kg
CHN,59,Sal tree,50,100,80,45,40,200,"4,000",MMK/kg
SHN_S,59,Sal tree,50,100,80,45,40,200,"4,000",MMK/kg
RKE,60,Tropical almond,30,100,80,35,25,60,"5,000",MMK/kg
TNY,60,Tropical almond,30,100,80,35,25,60,"5,000",MMK/kg
AYY,61,lemon,6,20,25,35,8,75,"5,000",MMK/kg
BGO,61,lemon,6,20,25,35,8,75,"5,000",MMK/kg
SHN_S,61,lemon,6,20,25,35,8,75,"5,000",MMK/kg
YGN,61,lemon,6,20,25,35,8,75,"5,000",MMK/kg
YGN,62,Money tree,3,60,80,10,4,50,"12,000",MMK/kg
MDY,62,Money tree,3,60,80,10,4,50,"12,000",MMK/kg
YGN,63,Sacred fig,30,100,100,45,35,800,"10,000",MMK/kg
BGO,63,Sacred fig,30,100,100,45,35,800,"10,000",MMK/kg
MDY,63,Sacred fig,30,100,100,45,35,800,"10,000",MMK/kg
MON,63,Sacred fig,30,100,100,45,35,800,"10,000",MMK/kg
AYY,64,Freshwater mangrove,10,50,80,45,35,90,"5,000",MMK/kg
MON,64,Freshwater mangrove,10,50,80,45,35,90,"5,000",MMK/kg
MAG,67,Htanaung,40,70,60,35,40,80,"6,000",MMK/kg
MDY,67,Htanaung,40,70,60,35,40,80,"6,000",MMK/kg
MAG,68,Plum tree,10,20,20,20,22,17,"6,000",MMK/kg
SAG,68,Plum tree,10,20,20,20,22,17,"6,000",MMK/kg
MDY,68,Plum tree,10,20,20,20,22,17,"6,000",MMK/kg
MAG,69,Palm tree,40,100,50,40,50,100,"8,000",MMK/kg
SAG,69,Palm tree,40,100,50,40,50,100,"8,000",MMK/kg
MDY,69,Palm tree,40,100,50,40,50,100,"8,000",MMK/kg
YGN,71,cat-tail,5,10,5,20,60,1,,
,5,"000""",,,,,,,,
AYY,71,cat-tail,5,10,5,20,3,1,,
,5,"000""",,,,,,,,
