township,date,soil_pH,rainfall_mm,temperature_c,local_grain_price,historic_yield_tons_per_ha,best_crop
Monywa,2022-10-01,6.4,519.7,21.1,1469.0,5.57,Rice
Yangon,2022-07-08,7.5,482.3,22.2,1304.0,2.34,Rice
Bago,2022-09-25,5.6,283.0,37.5,1712.0,1.53,Corn
Meiktila,2019-02-06,5.2,599.6,36.7,1890.0,7.78,Beans
Taungoo,2019-11-13,6.4,294.0,37.3,747.0,7.32,Corn
Yangon,2022-05-19,5.9,472.6,29.1,1936.0,3.96,Beans
Meiktila,2023-06-17,5.5,185.1,39.4,1313.0,5.05,Beans
Monywa,2018-08-23,5.2,291.3,38.4,585.0,4.72,Corn
Meiktila,2018-11-25,8.0,50.4,21.4,1106.0,7.03,Sesame
Pathein,2020-10-05,7.0,33.4,21.6,1348.0,5.6,Sesame
Monywa,2020-12-04,5.7,432.6,24.8,1508.0,3.77,Wheat
Magway,2023-02-16,6.1,453.6,21.5,1998.0,4.21,Rice
Mandalay,2018-10-28,6.9,308.5,22.6,603.0,3.44,Wheat
Taungoo,2022-02-22,6.0,268.5,30.9,1976.0,3.12,Corn
Meiktila,2018-02-02,7.3,337.2,38.6,1817.0,1.73,Corn
Magway,2019-04-18,8.1,448.0,23.1,816.0,2.97,Rice
Monywa,2020-04-13,7.4,513.2,30.1,1862.0,2.76,Rice
Yangon,2019-01-14,7.2,499.3,20.9,696.0,3.33,Rice
Magway,2019-10-24,7.6,335.5,28.6,613.0,1.07,Corn
Bago,2018-05-28,7.9,353.7,23.0,962.0,1.89,Wheat
Yangon,2022-01-05,5.7,157.2,22.1,1826.0,6.46,Wheat
Sagaing,2019-09-26,8.2,149.7,23.3,766.0,6.6,Wheat
Sagaing,2018-04-12,5.6,555.4,35.6,1505.0,3.88,Beans
Taungoo,2020-12-28,5.6,423.8,27.7,1206.0,1.27,Beans
Taungoo,2023-03-01,6.2,494.1,37.4,1490.0,2.56,Rice
Sagaing,2021-09-06,6.0,51.0,35.5,1264.0,3.46,Sesame
Meiktila,2021-09-18,8.3,78.1,39.4,1944.0,2.25,Sesame
Magway,2018-06-06,5.4,266.4,34.6,1409.0,3.2,Corn
Meiktila,2019-04-19,6.3,350.2,25.1,503.0,5.96,Corn
Meiktila,2020-03-18,6.3,51.3,33.3,971.0,3.31,Sesame
Mandalay,2021-05-15,6.8,403.5,26.5,1332.0,5.88,Rice
Taungoo,2022-09-19,7.3,233.7,35.0,1354.0,2.22,Corn
Sagaing,2018-01-02,6.1,134.0,35.7,983.0,5.25,Beans
Naypyidaw,2022-12-17,7.4,311.6,35.9,1604.0,7.72,Corn
Mandalay,2021-03-08,6.8,383.4,26.7,1627.0,6.73,Corn
Magway,2020-07-09,7.8,96.9,20.9,1417.0,7.89,Sesame
Mandalay,2023-02-09,6.5,381.6,23.9,1242.0,5.87,Wheat
Taungoo,2019-08-28,7.3,13.3,35.0,660.0,6.39,Sesame
Sagaing,2020-06-15,5.6,575.2,30.4,874.0,1.35,Beans
Mandalay,2023-02-13,5.5,284.1,30.6,976.0,4.91,Corn
Naypyidaw,2023-08-30,6.5,545.0,28.9,1792.0,2.11,Rice
Naypyidaw,2020-11-27,7.6,505.5,25.5,1227.0,6.44,Rice
Taungoo,2021-01-29,6.5,431.0,24.7,1840.0,3.35,Rice
Mandalay,2019-07-21,5.5,236.0,23.1,1122.0,2.5,Wheat
Monywa,2023-03-24,6.5,132.0,28.4,1376.0,7.33,Beans
Yangon,2022-04-08,6.7,566.2,26.0,1837.0,3.73,Rice
Sagaing,2020-06-22,6.7,171.0,29.7,1503.0,3.72,Beans
Sagaing,2019-11-08,7.9,552.5,39.6,1860.0,4.74,Rice
Pathein,2018-04-22,5.3,262.9,37.3,890.0,2.27,Corn
Monywa,2020-05-16,6.6,209.1,37.6,1927.0,2.95,Corn
Sagaing,2020-10-30,7.9,287.5,35.0,1928.0,1.36,Corn
Taungoo,2018-10-09,7.7,394.5,35.1,799.0,7.65,Corn
Yangon,2019-09-17,5.8,289.4,22.3,1198.0,7.63,Wheat
Magway,2022-02-19,5.6,368.3,35.0,1729.0,1.8,Corn
Magway,2019-03-19,7.0,558.0,31.5,1063.0,7.36,Rice
Taungoo,2018-11-08,7.1,500.0,24.9,952.0,5.88,Rice
Pathein,2019-05-11,7.8,343.9,20.8,1492.0,4.73,Wheat
Mandalay,2023-09-04,7.3,17.5,28.4,1150.0,4.43,Sesame
Monywa,2023-02-27,7.5,266.9,34.7,905.0,7.76,Corn
Meiktila,2023-06-04,6.6,497.2,31.8,868.0,3.26,Rice
Mandalay,2021-02-16,8.1,153.9,29.3,1068.0,5.27,Beans
Yangon,2023-07-18,8.0,117.3,24.2,1011.0,6.58,Wheat
Pathein,2021-02-05,6.9,314.8,23.8,1110.0,2.69,Wheat
Meiktila,2020-09-11,7.4,391.1,29.8,640.0,6.55,Corn
Taungoo,2022-07-15,7.4,190.7,31.6,1296.0,4.31,Beans
Sagaing,2021-09-16,6.2,277.7,26.1,1582.0,2.61,Corn
Monywa,2019-05-05,7.6,571.0,33.8,1608.0,2.34,Rice
Magway,2023-11-19,7.1,588.5,36.7,1041.0,3.07,Rice
Magway,2018-02-27,7.5,84.7,20.9,938.0,1.38,Sesame
Bago,2023-07-04,5.4,17.2,25.7,1011.0,4.35,Sesame
Yangon,2020-10-31,8.3,291.9,36.4,611.0,3.8,Corn
Yangon,2019-09-14,5.5,342.1,26.1,678.0,7.96,Corn
Sagaing,2020-07-13,7.7,234.4,38.2,1383.0,3.08,Corn
Sagaing,2021-06-04,7.0,45.5,39.2,1644.0,1.69,Sesame
Taungoo,2020-12-19,7.3,102.7,23.5,504.0,1.53,Wheat
Naypyidaw,2023-04-09,6.0,146.6,34.1,1181.0,5.92,Beans
Taungoo,2020-12-19,7.8,378.8,33.2,1138.0,7.54,Corn
Meiktila,2020-07-09,7.3,546.0,36.5,749.0,1.5,Rice
Magway,2021-03-28,6.5,286.5,26.1,908.0,3.82,Corn
Meiktila,2023-07-16,6.5,362.8,37.8,1406.0,6.14,Corn
Yangon,2019-01-10,5.8,407.8,37.2,531.0,5.11,Beans
Magway,2018-06-14,7.7,113.4,30.4,917.0,4.1,Beans
Pathein,2022-11-21,7.2,300.1,21.8,1000.0,3.44,Wheat
Mandalay,2019-10-21,6.2,419.3,25.8,1720.0,7.62,Rice
Meiktila,2018-05-31,6.6,195.6,26.5,1106.0,7.79,Beans
Meiktila,2018-01-05,7.3,330.1,28.3,1043.0,2.31,Corn
Naypyidaw,2022-12-16,7.7,130.1,31.0,1157.0,7.49,Beans
Naypyidaw,2019-05-13,5.1,381.7,36.0,966.0,5.97,Corn
Yangon,2022-07-30,5.3,595.4,38.3,676.0,4.23,Beans
Bago,2023-08-04,8.3,182.2,34.1,1224.0,3.91,Beans
Naypyidaw,2020-09-25,6.6,95.3,23.8,1619.0,5.2,Sesame
Bago,2018-10-13,6.0,476.1,28.3,1262.0,7.54,Beans
Yangon,2021-03-04,7.5,504.1,31.6,1798.0,5.62,Rice
Naypyidaw,2023-06-07,6.2,335.6,30.9,983.0,4.19,Corn
Taungoo,2020-09-05,7.0,147.8,35.5,1617.0,1.31,Beans
Sagaing,2022-05-01,8.5,477.5,33.0,1947.0,2.06,Rice
Bago,2023-08-20,8.4,205.9,22.0,650.0,6.92,Wheat
Naypyidaw,2018-03-04,7.5,251.9,33.1,1204.0,2.08,Corn
Magway,2021-10-18,7.2,244.5,21.6,1512.0,3.3,Wheat
Meiktila,2022-04-06,8.3,379.8,37.7,1312.0,4.42,Corn
Pathein,2018-10-08,5.8,413.8,25.7,636.0,2.59,Beans
Mandalay,2019-02-16,6.6,419.5,38.1,1694.0,1.32,Rice
Magway,2022-01-08,6.3,95.9,30.6,1689.0,4.96,Sesame
Bago,2019-12-19,5.3,523.8,32.4,1869.0,2.69,Beans
Bago,2020-08-09,6.6,159.8,25.1,1707.0,1.07,Beans
Magway,2019-10-10,5.3,567.7,39.8,1943.0,3.09,Beans
Magway,2023-02-15,8.0,127.5,27.7,856.0,4.38,Beans
Pathein,2022-01-10,7.0,595.7,25.9,1487.0,7.85,Rice
Magway,2018-02-03,7.0,414.6,34.9,1410.0,1.34,Rice
Naypyidaw,2021-03-18,7.7,145.8,36.0,785.0,2.53,Beans
Magway,2019-07-15,7.2,543.0,32.9,1161.0,3.16,Rice
Pathein,2022-02-03,7.6,63.2,25.9,763.0,6.23,Sesame
Bago,2022-02-07,6.9,549.0,36.6,1737.0,2.8,Rice
Naypyidaw,2021-04-23,7.6,209.8,22.3,711.0,7.74,Wheat
Taungoo,2022-06-16,8.4,484.7,27.3,521.0,6.53,Rice
Meiktila,2019-05-22,6.6,407.0,33.4,1734.0,5.09,Rice
Monywa,2019-03-20,7.4,288.2,32.4,992.0,7.6,Corn
Pathein,2020-06-25,7.3,384.9,29.3,1474.0,5.91,Corn
Mandalay,2019-07-27,5.2,32.0,39.9,852.0,1.81,Sesame
Meiktila,2019-07-10,6.4,228.9,39.0,1310.0,5.88,Corn
Pathein,2019-09-25,8.1,396.4,36.7,1909.0,5.31,Corn
Magway,2018-05-15,7.4,138.2,28.9,1044.0,2.65,Beans
Monywa,2022-01-09,5.2,172.8,39.4,1736.0,7.64,Beans
Mandalay,2020-05-18,7.2,362.3,20.4,865.0,6.51,Wheat
Bago,2020-04-20,5.2,461.4,24.1,1805.0,2.51,Wheat
Monywa,2019-08-28,7.8,361.6,25.5,1981.0,7.89,Corn
Meiktila,2020-10-23,7.8,74.9,37.3,1037.0,1.92,Sesame
Taungoo,2021-08-19,5.1,166.6,22.5,670.0,3.95,Wheat
Mandalay,2023-05-05,6.6,223.6,31.9,832.0,4.16,Corn
Pathein,2018-06-27,7.5,546.2,33.2,1465.0,3.11,Rice
Yangon,2018-09-07,8.5,509.9,28.5,1569.0,1.76,Rice
Naypyidaw,2018-10-29,8.1,200.0,23.0,1436.0,1.88,Wheat
Pathein,2021-08-24,6.3,362.5,25.9,1145.0,4.54,Corn
Mandalay,2020-05-30,6.5,534.0,28.3,1098.0,6.79,Rice
Mandalay,2021-07-04,6.5,402.4,27.5,1884.0,2.07,Rice
Mandalay,2019-01-09,7.9,65.0,21.9,1718.0,6.17,Sesame
Meiktila,2018-09-03,7.1,341.3,26.6,1030.0,1.86,Corn
Sagaing,2018-07-30,8.4,364.2,27.0,819.0,5.05,Corn
Naypyidaw,2020-07-07,8.0,216.6,31.1,918.0,1.8,Corn
Taungoo,2022-10-24,8.0,585.0,36.4,1464.0,5.3,Rice
Yangon,2020-12-31,5.1,171.2,35.2,1027.0,7.45,Beans
Bago,2019-08-10,7.0,246.5,22.8,546.0,5.43,Wheat
Meiktila,2020-05-31,6.3,277.7,23.1,987.0,3.18,Wheat
Pathein,2018-12-14,8.1,101.8,35.1,622.0,1.35,Beans
Naypyidaw,2022-10-03,6.7,270.8,25.5,671.0,6.28,Corn
Sagaing,2019-03-31,6.0,410.3,29.7,568.0,5.67,Beans
Sagaing,2018-08-13,5.0,187.8,24.2,883.0,1.96,Wheat
Monywa,2019-05-07,5.0,450.7,23.5,1556.0,3.66,Wheat
Meiktila,2021-12-21,5.3,518.4,20.8,1882.0,1.13,Wheat
Monywa,2022-10-25,7.0,428.6,28.4,531.0,1.81,Rice
Monywa,2019-12-05,7.8,374.7,36.6,632.0,7.44,Corn
Mandalay,2020-09-23,6.5,246.3,21.6,1619.0,7.09,Wheat
Taungoo,2021-09-26,7.7,55.1,32.7,791.0,4.71,Sesame
Monywa,2021-12-09,7.5,493.2,36.3,720.0,2.65,Rice
Taungoo,2019-12-12,7.1,458.5,33.1,1659.0,2.24,Rice
Naypyidaw,2023-03-16,7.6,458.3,29.0,1347.0,7.47,Rice
Pathein,2021-08-16,8.0,380.1,23.0,1163.0,1.48,Wheat
Magway,2021-01-30,7.1,217.6,21.5,556.0,4.23,Wheat
Monywa,2021-03-21,5.3,519.9,37.1,1261.0,5.31,Beans
Naypyidaw,2018-06-18,6.6,487.8,33.0,1213.0,3.25,Rice
Bago,2018-09-11,6.6,488.5,36.7,626.0,7.88,Rice
Bago,2018-06-10,5.9,268.3,28.8,738.0,4.66,Corn
Monywa,2021-03-04,6.4,466.9,33.6,1446.0,1.37,Rice
Monywa,2018-09-27,6.2,339.2,27.7,1777.0,2.76,Corn
Pathein,2019-09-08,6.2,353.8,22.8,1952.0,3.45,Wheat
Sagaing,2019-06-13,7.1,563.4,26.2,1687.0,3.64,Rice
Bago,2023-11-27,5.3,405.6,30.2,963.0,1.13,Beans
Taungoo,2021-10-31,8.3,296.9,24.5,616.0,1.96,Wheat
Mandalay,2023-09-11,7.7,502.7,37.7,1005.0,1.26,Rice
Pathein,2019-06-21,7.1,101.0,23.6,1437.0,5.85,Wheat
Bago,2022-11-28,5.2,224.9,34.4,1416.0,7.79,Corn
Naypyidaw,2020-08-16,6.9,192.6,36.2,1753.0,4.28,Beans
Monywa,2022-12-10,6.6,176.2,27.6,1949.0,4.69,Beans
Taungoo,2019-07-21,8.1,40.8,29.6,1901.0,3.6,Sesame
Meiktila,2019-05-26,6.0,460.2,25.5,721.0,7.34,Beans
Sagaing,2019-01-11,8.3,141.0,29.0,540.0,3.45,Beans
Yangon,2022-06-12,6.8,149.1,39.9,542.0,3.62,Beans
Mandalay,2021-10-05,7.8,91.2,25.7,1544.0,6.81,Sesame
Bago,2023-04-06,6.6,13.1,21.6,1752.0,2.79,Sesame
Meiktila,2023-12-02,6.5,467.9,24.8,858.0,1.85,Rice
Pathein,2023-02-16,5.2,503.6,30.0,1448.0,4.75,Beans
Pathein,2020-09-17,7.5,181.9,20.0,1356.0,3.47,Wheat
Bago,2018-12-17,6.8,222.8,39.1,1680.0,4.81,Corn
Meiktila,2018-03-25,6.4,287.4,32.7,880.0,7.87,Corn
Yangon,2022-01-02,7.8,213.4,34.7,1657.0,5.4,Corn
Monywa,2019-07-01,5.2,332.1,36.3,1669.0,2.23,Corn
Naypyidaw,2023-05-15,7.2,488.8,21.3,1187.0,6.43,Rice
Magway,2020-04-05,5.2,127.7,20.8,1273.0,7.53,Wheat
Meiktila,2023-04-24,5.9,454.4,23.8,1671.0,3.5,Wheat
Monywa,2021-01-24,5.4,227.1,37.8,1842.0,6.2,Corn
Sagaing,2021-10-20,8.4,302.8,30.0,1279.0,7.47,Corn
Mandalay,2022-10-05,5.3,365.4,36.4,982.0,4.82,Corn
Mandalay,2021-09-05,7.3,190.8,32.1,1535.0,3.98,Beans
Monywa,2023-01-06,5.1,523.3,27.1,912.0,7.99,Beans
Yangon,2018-11-04,7.3,249.7,30.3,740.0,6.25,Corn
Yangon,2019-08-08,8.0,410.1,28.8,854.0,1.88,Rice
Monywa,2022-01-23,6.3,344.7,32.1,1923.0,5.75,Corn
Monywa,2022-12-24,7.7,348.6,30.6,1474.0,3.79,Corn
Taungoo,2019-04-10,5.1,119.8,30.4,677.0,7.39,Beans
Magway,2023-01-02,5.8,371.0,33.9,800.0,7.99,Corn
Bago,2018-10-31,6.6,540.2,28.9,1523.0,1.61,Rice
Monywa,2021-11-24,7.5,334.5,25.8,736.0,3.1,Corn
Bago,2022-01-20,6.8,81.6,24.0,1686.0,1.97,Sesame
Yangon,2022-01-18,6.9,227.7,36.1,1418.0,4.86,Corn
Mandalay,2018-09-27,6.1,599.8,34.4,1654.0,4.68,Rice
Pathein,2018-10-30,5.4,197.0,21.5,1276.0,4.26,Wheat
Bago,2020-01-16,7.7,86.1,30.1,1747.0,7.08,Sesame
Meiktila,2019-09-19,6.1,105.6,38.7,1921.0,2.58,Beans
Meiktila,2021-03-09,8.0,157.9,32.7,688.0,4.86,Beans
Magway,2023-12-26,5.3,388.2,31.8,757.0,5.06,Corn
Pathein,2021-10-14,7.9,342.5,36.5,568.0,1.2,Corn
Pathein,2020-12-20,7.3,462.5,28.3,1247.0,5.47,Rice
Meiktila,2021-04-01,7.2,188.2,24.9,1109.0,6.65,Wheat
Naypyidaw,2018-10-26,7.4,103.3,28.3,1010.0,4.25,Beans
Bago,2021-07-04,8.0,198.4,39.8,1098.0,3.42,Beans
Monywa,2023-10-11,7.0,198.3,29.3,872.0,2.87,Beans
Mandalay,2018-07-27,6.0,236.6,32.3,1798.0,2.74,Corn
Bago,2021-09-03,8.3,435.5,23.8,1994.0,2.12,Rice
Naypyidaw,2023-08-05,8.1,303.4,21.8,1186.0,3.75,Wheat
Taungoo,2020-05-31,7.0,38.7,25.6,1764.0,5.18,Sesame
Naypyidaw,2021-03-16,6.9,509.8,28.6,1591.0,7.18,Rice
Sagaing,2022-02-07,5.2,40.2,31.2,933.0,3.54,Sesame
Sagaing,2023-08-28,6.6,334.4,36.5,1417.0,5.36,Corn
Bago,2019-02-01,6.4,479.0,26.8,1632.0,7.57,Rice
Taungoo,2023-09-17,6.4,33.8,20.8,1706.0,6.0,Sesame
Meiktila,2023-02-15,5.5,536.9,22.8,978.0,7.52,Wheat
Sagaing,2021-05-10,7.1,309.3,30.2,1344.0,4.43,Corn
Naypyidaw,2018-03-10,6.3,407.5,39.6,1695.0,5.09,Rice
Yangon,2023-04-28,5.9,396.8,39.4,841.0,5.05,Corn
Yangon,2023-05-22,5.6,381.1,32.4,722.0,6.89,Corn
Taungoo,2018-05-10,7.0,423.3,23.8,1128.0,4.09,Rice
Sagaing,2020-04-15,6.4,467.2,38.4,1604.0,7.11,Rice
Yangon,2019-07-20,6.8,340.9,40.0,1065.0,4.35,Corn
Bago,2023-02-26,8.2,212.0,27.1,1581.0,6.4,Corn
Magway,2023-06-07,5.7,155.4,31.2,1959.0,2.57,Beans
Magway,2021-03-29,7.5,417.2,29.8,1341.0,4.36,Rice
Magway,2021-03-24,5.4,409.2,27.6,1728.0,7.86,Beans
Bago,2021-04-04,5.1,573.6,21.6,1484.0,7.47,Wheat
Naypyidaw,2020-05-26,5.7,327.8,38.7,706.0,5.87,Corn
Pathein,2020-09-07,5.8,405.2,30.6,579.0,5.47,Beans
Sagaing,2021-09-14,7.5,69.3,35.4,1326.0,1.04,Sesame
Bago,2022-07-25,7.3,529.6,29.5,1634.0,5.55,Rice
Magway,2021-08-08,6.0,44.9,35.4,848.0,5.57,Sesame
Yangon,2019-12-19,6.5,504.2,38.7,1754.0,1.25,Rice
Naypyidaw,2020-02-03,8.3,577.7,38.5,514.0,7.14,Rice
Pathein,2019-03-16,8.2,207.7,29.1,1286.0,5.49,Corn
Bago,2023-08-28,6.6,123.8,22.3,1188.0,2.14,Wheat
Magway,2020-02-02,5.0,208.9,25.9,790.0,5.72,Corn
Pathein,2022-07-19,7.9,314.0,21.7,777.0,5.68,Wheat
Bago,2023-05-10,6.1,156.3,25.2,1631.0,2.65,Beans
Monywa,2021-05-21,7.0,348.0,25.2,854.0,3.52,Corn
Mandalay,2023-03-22,6.1,249.2,30.1,1555.0,7.27,Corn
Magway,2019-04-26,7.2,565.0,27.4,1936.0,2.55,Rice
Naypyidaw,2019-09-20,6.6,593.4,27.5,1869.0,5.91,Rice
Meiktila,2020-06-13,7.7,411.4,31.9,1288.0,6.51,Rice
Meiktila,2022-01-21,5.3,342.9,21.2,1258.0,4.83,Wheat
Pathein,2019-09-06,5.6,514.1,28.8,1575.0,5.76,Beans
Naypyidaw,2019-01-08,8.1,272.8,21.1,1123.0,1.92,Wheat
Pathein,2018-08-25,7.0,406.9,26.2,882.0,1.15,Rice
Yangon,2020-06-11,7.0,36.7,26.9,1991.0,1.45,Sesame
Mandalay,2023-04-18,5.1,251.2,35.4,1967.0,6.36,Corn
Sagaing,2022-03-14,8.5,235.7,37.4,1063.0,7.35,Corn
Meiktila,2019-06-29,7.3,215.2,23.6,1293.0,4.76,Wheat
Taungoo,2018-01-15,7.6,587.3,29.3,1136.0,6.03,Rice
Sagaing,2020-07-29,5.9,214.2,25.5,1588.0,7.56,Corn
Mandalay,2018-05-12,7.8,257.4,35.3,523.0,7.19,Corn
Taungoo,2018-10-03,5.4,29.8,32.0,573.0,5.92,Sesame
Yangon,2022-07-06,6.5,328.5,35.1,710.0,6.43,Corn
Magway,2020-08-17,7.9,441.6,26.4,1509.0,5.19,Rice
Monywa,2020-08-28,6.1,94.5,33.2,951.0,2.55,Sesame
Yangon,2019-12-19,7.2,262.0,29.9,1912.0,7.81,Corn
Sagaing,2023-11-19,6.1,255.6,23.0,1632.0,3.64,Wheat
Naypyidaw,2020-09-14,8.0,187.4,34.2,1872.0,6.64,Beans
Meiktila,2022-08-18,8.4,338.8,22.7,805.0,2.7,Wheat
Mandalay,2023-01-17,8.0,64.6,34.5,903.0,2.33,Sesame
Pathein,2018-06-11,8.1,121.0,35.2,1338.0,6.07,Beans
Naypyidaw,2020-05-05,8.0,206.4,39.1,1906.0,1.11,Corn
Mandalay,2023-05-16,8.2,420.4,34.1,859.0,3.78,Rice
Monywa,2021-03-05,6.3,324.9,27.2,1269.0,2.83,Corn
Naypyidaw,2023-03-24,5.3,589.0,29.4,1871.0,6.88,Beans
Monywa,2021-07-05,6.4,341.9,24.4,891.0,2.02,Wheat
Pathein,2022-09-07,6.0,125.8,24.6,869.0,4.99,Wheat
Meiktila,2021-10-14,5.9,494.7,39.3,1236.0,5.49,Beans
Bago,2021-12-13,5.6,435.0,29.8,1313.0,7.42,Beans
Yangon,2023-11-17,5.1,509.6,38.9,1647.0,5.68,Beans
Sagaing,2019-07-18,7.9,146.5,34.1,1259.0,1.06,Beans
Monywa,2018-09-05,7.2,403.4,32.3,1232.0,4.38,Rice
Yangon,2023-12-20,6.9,17.0,30.6,1966.0,2.92,Sesame
Yangon,2023-08-20,7.8,407.7,36.1,661.0,7.37,Rice
Mandalay,2023-11-18,5.5,123.2,30.5,901.0,6.71,Beans
Sagaing,2018-11-20,6.3,249.6,31.3,839.0,7.93,Corn
Mandalay,2018-05-10,5.3,233.8,31.1,514.0,1.39,Corn
Bago,2018-12-05,6.7,266.0,35.7,1787.0,4.96,Corn
Mandalay,2023-12-04,8.2,145.6,38.0,1350.0,5.85,Beans
Magway,2018-07-10,8.2,413.8,25.6,1487.0,4.8,Rice
Bago,2021-07-12,5.1,132.2,22.9,1731.0,6.74,Wheat
Mandalay,2021-05-10,5.6,151.9,36.7,1845.0,3.72,Beans
Monywa,2022-04-22,7.6,92.6,39.8,1251.0,6.07,Sesame
Monywa,2018-08-08,5.3,147.0,21.5,1421.0,5.24,Wheat
Pathein,2022-06-13,8.4,202.6,32.7,1176.0,6.48,Corn
Taungoo,2021-12-28,6.9,231.5,23.7,1070.0,5.1,Wheat
Pathein,2021-04-24,7.8,430.7,21.6,1568.0,2.08,Rice
Bago,2022-05-15,6.1,72.9,20.1,1040.0,3.16,Sesame
Magway,2019-02-23,5.5,120.6,29.0,1112.0,4.88,Beans
Yangon,2019-01-03,6.2,64.9,32.0,1078.0,3.27,Sesame
Magway,2022-08-22,6.4,60.0,38.0,1967.0,7.34,Sesame
Pathein,2023-11-05,5.6,234.6,22.8,1240.0,3.11,Wheat
Mandalay,2019-11-16,6.5,258.5,29.7,878.0,1.54,Corn
Taungoo,2023-07-24,7.1,125.4,22.1,1923.0,3.13,Wheat
Monywa,2022-04-06,7.8,204.4,26.7,1789.0,6.71,Corn
Pathein,2019-07-12,6.1,365.9,33.9,766.0,4.35,Corn
Sagaing,2021-07-31,6.0,420.0,29.8,864.0,5.03,Beans
Sagaing,2021-02-22,7.9,241.8,22.3,1388.0,4.95,Wheat
Meiktila,2020-01-07,7.4,334.6,39.1,1563.0,4.23,Corn
Naypyidaw,2021-04-08,7.9,50.8,37.0,1509.0,6.57,Sesame
Bago,2021-05-25,5.8,398.6,34.3,611.0,6.52,Corn
Pathein,2023-05-17,7.0,325.3,38.5,1127.0,7.09,Corn
Yangon,2022-01-12,7.5,489.3,31.9,664.0,7.4,Rice
Taungoo,2021-12-25,5.6,371.5,31.3,1470.0,5.52,Corn
Monywa,2022-10-30,5.4,68.2,24.4,1337.0,6.23,Sesame
Pathein,2020-06-24,6.6,240.8,35.4,1251.0,5.12,Corn
Monywa,2018-04-11,6.7,184.3,38.4,1747.0,1.6,Beans
Bago,2021-11-27,6.1,278.6,24.1,1214.0,4.38,Wheat
Naypyidaw,2023-01-28,6.1,187.2,36.2,1774.0,1.81,Beans
Mandalay,2019-11-05,8.3,446.9,30.3,996.0,4.86,Rice
Sagaing,2023-03-08,5.8,249.0,23.7,1148.0,5.48,Wheat
Yangon,2020-03-19,6.6,263.4,20.1,918.0,2.5,Wheat
Mandalay,2019-02-21,7.8,326.8,27.3,671.0,2.38,Corn
Naypyidaw,2023-12-02,8.4,194.9,27.8,671.0,3.75,Beans
Monywa,2023-02-19,7.2,490.1,34.1,1422.0,3.08,Rice
Mandalay,2019-07-03,6.1,150.8,22.3,712.0,3.61,Wheat
Sagaing,2022-09-10,7.1,349.1,28.5,1306.0,4.41,Corn
Bago,2019-11-15,6.7,92.8,26.3,580.0,4.16,Sesame
Monywa,2018-02-09,6.7,125.1,27.7,1480.0,4.93,Beans
Sagaing,2023-07-08,6.5,505.5,29.8,546.0,1.58,Rice
Taungoo,2021-04-11,5.1,142.7,25.8,1348.0,6.47,Beans
Naypyidaw,2023-09-24,5.4,77.4,35.5,1050.0,6.76,Sesame
Yangon,2022-12-13,6.9,594.0,22.0,1627.0,6.81,Rice
Magway,2018-05-13,6.6,215.7,36.3,1991.0,4.07,Corn
Taungoo,2020-05-09,7.8,356.9,27.0,1449.0,5.98,Corn
Bago,2019-07-25,7.7,490.0,36.1,1298.0,4.99,Rice
Pathein,2019-11-21,6.1,425.4,25.8,1787.0,2.87,Rice
Mandalay,2019-07-10,8.4,473.6,38.4,1801.0,7.95,Rice
Bago,2019-06-28,5.9,429.7,36.6,1514.0,6.33,Beans
