State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,,,,,
SHN_S,4,ခရမ်းချဉ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၆,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၄,၃,၂,၁,၁၀°C,၃၅°C,ဟင်းချက် (အသုပ်၊ ဆော့စ်၊ ချက်ပြုတ်)၊ ဖျော်ရည်၊ ဆေးဖက်ဝင် (ဓာတ်တိုးဆန့်ကျင်),မျိုးကွဲပေါင်းများစွာရှိပြီး လူကြိုက်များသော အသီးအနှံဖြစ်ကာ ပူနွေးသောရာသီဥတုနှင့် ပုံမှန်ရေရရှိမှုကို ကြိုက်နှစ်သက်သည်။,,,,,
YGN,4,ခရမ်းချဉ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၆,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၄,၃,၂,၁,၁၀°C,၃၅°C,ဟင်းချက် (အသုပ်၊ ဆော့စ်၊ ချက်ပြုတ်)၊ ဖျော်ရည်၊ ဆေးဖက်ဝင် (ဓာတ်တိုးဆန့်ကျင်),မျိုးကွဲပေါင်းများစွာရှိပြီး လူကြိုက်များသော အသီးအနှံဖြစ်ကာ ပူနွေးသောရာသီဥတုနှင့် ပုံမှန်ရေရရှိမှုကို ကြိုက်နှစ်သက်သည်။,,,,,
MDY,4,ခရမ်းချဉ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၆,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၄,၃,၂,၁,၁၀°C,၃၅°C,ဟင်းချက် (အသုပ်၊ ဆော့စ်၊ ချက်ပြုတ်)၊ ဖျော်ရည်၊ ဆေးဖက်ဝင် (ဓာတ်တိုးဆန့်ကျင်),မျိုးကွဲပေါင်းများစွာရှိပြီး လူကြိုက်များသော အသီးအနှံဖြစ်ကာ ပူနွေးသောရာသီဥတုနှင့် ပုံမှန်ရေရရှိမှုကို ကြိုက်နှစ်သက်သည်။,,,,,
BGO,4,ခရမ်းချဉ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၆,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၄,၃,၂,၁,၁၀°C,၃၅°C,ဟင်းချက် (အသုပ်၊ ဆော့စ်၊ ချက်ပြုတ်)၊ ဖျော်ရည်၊ ဆေးဖက်ဝင် (ဓာတ်တိုးဆန့်ကျင်),မျိုးကွဲပေါင်းများစွာရှိပြီး လူကြိုက်များသော အသီးအနှံဖြစ်ကာ ပူနွေးသောရာသီဥတုနှင့် ပုံမှန်ရေရရှိမှုကို ကြိုက်နှစ်သက်သည်။,,,,,
SHN_S,5,ငရုတ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၂,၂,၁.၂,၂,၁၂°C,၃၈°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဆော့စ်)၊ ဆေးဖက်ဝင် (ဇီဝဖြစ်စဉ်မြှင့်တင်၊ အကိုက်အခဲသက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သော စပ်သည့်အသီးဖြစ်ပြီး ပူနွေးကာ နေရောင်ကောင်းစွာရသော နေရာများကို နှစ်သက်သည်။,,,,,
YGN,5,ငရုတ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၂,၂,၁.၂,၂,၁၂°C,၃၈°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဆော့စ်)၊ ဆေးဖက်ဝင် (ဇီဝဖြစ်စဉ်မြှင့်တင်၊ အကိုက်အခဲသက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သော စပ်သည့်အသီးဖြစ်ပြီး ပူနွေးကာ နေရောင်ကောင်းစွာရသော နေရာများကို နှစ်သက်သည်။,,,,,
MDY,5,ငရုတ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၂,၂,၁.၂,၂,၁၂°C,၃၈°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဆော့စ်)၊ ဆေးဖက်ဝင် (ဇီဝဖြစ်စဉ်မြှင့်တင်၊ အကိုက်အခဲသက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သော စပ်သည့်အသီးဖြစ်ပြီး ပူနွေးကာ နေရောင်ကောင်းစွာရသော နေရာများကို နှစ်သက်သည်။,,,,,
BGO,5,ငရုတ်သီး,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၂,၂,၁.၂,၂,၁၂°C,၃၈°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဆော့စ်)၊ ဆေးဖက်ဝင် (ဇီဝဖြစ်စဉ်မြှင့်တင်၊ အကိုက်အခဲသက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သော စပ်သည့်အသီးဖြစ်ပြီး ပူနွေးကာ နေရောင်ကောင်းစွာရသော နေရာများကို နှစ်သက်သည်။,,,,,
AYY,6,ခရမ်းသီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၄,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၄,၃,၁.၈,၁,၁၀°C,၃၅°C,ဟင်းချက် (ဆီသတ်၊ ဟင်း၊ ကင်)၊ ဆေးဖက်ဝင် (အမျှင်ဓာတ်၊ ဓာတ်တိုးဆန့်ကျင်),အမြစ်တိုသော နွေရာသီသီးနှံဖြစ်ပြီး တိုင်ထောင်ပေးခြင်းနှင့် ပုံမှန်မြေသြဇာကျွေးခြင်းဖြင့် အပင်ဖြစ်ထွန်းမှု ပိုကောင်းစေသည်။,,,,,
BGO,6,ခရမ်းသီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၄,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၄,၃,၁.၈,၁,၁၀°C,၃၅°C,ဟင်းချက် (ဆီသတ်၊ ဟင်း၊ ကင်)၊ ဆေးဖက်ဝင် (အမျှင်ဓာတ်၊ ဓာတ်တိုးဆန့်ကျင်),အမြစ်တိုသော နွေရာသီသီးနှံဖြစ်ပြီး တိုင်ထောင်ပေးခြင်းနှင့် ပုံမှန်မြေသြဇာကျွေးခြင်းဖြင့် အပင်ဖြစ်ထွန်းမှု ပိုကောင်းစေသည်။,,,,,
YGN,6,ခရမ်းသီး,ဟင်းသီးဟင်းရွက်ပင်,၂,၄,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၄,၃,၁.၈,၁,၁၀°C,၃၅°C,ဟင်းချက် (ဆီသတ်၊ ဟင်း၊ ကင်)၊ ဆေးဖက်ဝင် (အမျှင်ဓာတ်၊ ဓာတ်တိုးဆန့်ကျင်),အမြစ်တိုသော နွေရာသီသီးနှံဖြစ်ပြီး တိုင်ထောင်ပေးခြင်းနှင့် ပုံမှန်မြေသြဇာကျွေးခြင်းဖြင့် အပင်ဖြစ်ထွန်းမှု ပိုကောင်းစေသည်။,,,,,
SHN_s,7,ဂေါ်ဖီထုပ်,ဟင်းသီးဟင်းရွက်ပင်,၁,၂,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,မရ,၀.၂၅,၀.၅,၃,၃,၁.၅,၁,၅°C,၂၈°C,ဟင်းချက် (အသုပ်၊ ဟင်းချို၊ အချဉ်ဖောက်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),ဆောင်းရာသီ အရွက်စားဟင်းသီးဟင်းရွက်ဖြစ်ပြီး မျှတသော အစိုဓာတ်ကို နှစ်သက်သည်။,,,,,
MDY,7,ဂေါ်ဖီထုပ်,ဟင်းသီးဟင်းရွက်ပင်,၁,၂,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,မရ,၀.၂၅,၀.၅,၃,၃,၁.၅,၁,၅°C,၂၈°C,ဟင်းချက် (အသုပ်၊ ဟင်းချို၊ အချဉ်ဖောက်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),ဆောင်းရာသီ အရွက်စားဟင်းသီးဟင်းရွက်ဖြစ်ပြီး မျှတသော အစိုဓာတ်ကို နှစ်သက်သည်။,,,,,
SAG,7,ဂေါ်ဖီထုပ်,ဟင်းသီးဟင်းရွက်ပင်,၁,၂,၄,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,မရ,၀.၂၅,၀.၅,၃,၃,၁.၅,၁,၅°C,၂၈°C,ဟင်းချက် (အသုပ်၊ ဟင်းချို၊ အချဉ်ဖောက်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),ဆောင်းရာသီ အရွက်စားဟင်းသီးဟင်းရွက်ဖြစ်ပြီး မျှတသော အစိုဓာတ်ကို နှစ်သက်သည်။,,,,,
MDY,8,ကြက်သွန်နီ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၁,၂,၁,၁,၅°C,၃၂°C,ချက်ပြုတ်၊ အရသာဖြည့်၊ ဆေးဖက်ဝင် (ဘက်တီးရီးယားဆန့်ကျင်၊ နှလုံးသွေးကြောကျန်းမာ),အနံ့ပြင်းသော ဥကို ရယူရန် စိုက်ပျိုးကြပြီး စနစ်တကျ အခြောက်ခံထားပါက ကြာရှည်စွာ သိုလှောင်ထားနိုင်သည်။,,,,,
SAG,8,ကြက်သွန်နီ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၁,၂,၁,၁,၅°C,၃၂°C,ချက်ပြုတ်၊ အရသာဖြည့်၊ ဆေးဖက်ဝင် (ဘက်တီးရီးယားဆန့်ကျင်၊ နှလုံးသွေးကြောကျန်းမာ),အနံ့ပြင်းသော ဥကို ရယူရန် စိုက်ပျိုးကြပြီး စနစ်တကျ အခြောက်ခံထားပါက ကြာရှည်စွာ သိုလှောင်ထားနိုင်သည်။,,,,,
SHN_S,8,ကြက်သွန်နီ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၁,၂,၁,၁,၅°C,၃၂°C,ချက်ပြုတ်၊ အရသာဖြည့်၊ ဆေးဖက်ဝင် (ဘက်တီးရီးယားဆန့်ကျင်၊ နှလုံးသွေးကြောကျန်းမာ),အနံ့ပြင်းသော ဥကို ရယူရန် စိုက်ပျိုးကြပြီး စနစ်တကျ အခြောက်ခံထားပါက ကြာရှည်စွာ သိုလှောင်ထားနိုင်သည်။,,,,,
YGN,8,ကြက်သွန်နီ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၅,၁,၂,၁,၁,၅°C,၃၂°C,ချက်ပြုတ်၊ အရသာဖြည့်၊ ဆေးဖက်ဝင် (ဘက်တီးရီးယားဆန့်ကျင်၊ နှလုံးသွေးကြောကျန်းမာ),အနံ့ပြင်းသော ဥကို ရယူရန် စိုက်ပျိုးကြပြီး စနစ်တကျ အခြောက်ခံထားပါက ကြာရှည်စွာ သိုလှောင်ထားနိုင်သည်။,,,,,
MDY,9,ကြက်သွန်ဖြူ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၃၃,၀.၅,၁,၁.၅,၁,၁,၅°C,၃၀°C,ဟင်းချက် (ဆီသတ်၊ ဟင်းခတ်)၊ ဆေးဖက်ဝင် (ကိုယ်ခံအား၊ နှလုံးသွေးကြော),အရသာအတွက်သာမက တိုင်းရင်းဆေးဝါးများတွင်ပါ သုံးစွဲကြသည့် အနံ့ပြင်းသော ဥအမျိုးအစားဖြစ်ပြီး ဆောင်းရာသီတွင် ဥမြွှာများကို စိုက်ပျိုးကြသည်။,,,,,
SAG,9,ကြက်သွန်ဖြူ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၃၃,၀.၅,၁,၁.၅,၁,၁,၅°C,၃၀°C,ဟင်းချက် (ဆီသတ်၊ ဟင်းခတ်)၊ ဆေးဖက်ဝင် (ကိုယ်ခံအား၊ နှလုံးသွေးကြော),အရသာအတွက်သာမက တိုင်းရင်းဆေးဝါးများတွင်ပါ သုံးစွဲကြသည့် အနံ့ပြင်းသော ဥအမျိုးအစားဖြစ်ပြီး ဆောင်းရာသီတွင် ဥမြွှာများကို စိုက်ပျိုးကြသည်။,,,,,
SHN_S,9,ကြက်သွန်ဖြူ,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၂,နည်း,အပြည့်အဝ,မရ,ရ,ရ,၀.၃၃,၀.၅,၁,၁.၅,၁,၁,၅°C,၃၀°C,ဟင်းချက် (ဆီသတ်၊ ဟင်းခတ်)၊ ဆေးဖက်ဝင် (ကိုယ်ခံအား၊ နှလုံးသွေးကြော),အရသာအတွက်သာမက တိုင်းရင်းဆေးဝါးများတွင်ပါ သုံးစွဲကြသည့် အနံ့ပြင်းသော ဥအမျိုးအစားဖြစ်ပြီး ဆောင်းရာသီတွင် ဥမြွှာများကို စိုက်ပျိုးကြသည်။,,,,,
SHN_S,10,အာလူး,ဟင်းသီးဟင်းရွက်ပင်,၁,၂.၅,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၂,၂.၅,၁.၆,၁,၄°C,၃၀°C,ချက်ပြုတ် (ပြုတ်၊ ကြော်၊ ဖုတ်)၊ ကစီဓာတ်ရင်းမြစ်,မြေအောက်တွင် ဥတက်သော အပင်ဖြစ်ပြီး မြေပွကို နှစ်သက်ကာ ဥများ ကောင်းစွာ ဖွံ့ဖြိုးရန် ဘောင်တင်ပေးခြင်း (သို့) ပင်ခြေမြေဖို့ပေးခြင်း လိုအပ်သည်။,,,,,
CHN,10,အာလူး,ဟင်းသီးဟင်းရွက်ပင်,၁,၂.၅,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၂,၂.၅,၁.၆,၁,၄°C,၃၀°C,ချက်ပြုတ် (ပြုတ်၊ ကြော်၊ ဖုတ်)၊ ကစီဓာတ်ရင်းမြစ်,မြေအောက်တွင် ဥတက်သော အပင်ဖြစ်ပြီး မြေပွကို နှစ်သက်ကာ ဥများ ကောင်းစွာ ဖွံ့ဖြိုးရန် ဘောင်တင်ပေးခြင်း (သို့) ပင်ခြေမြေဖို့ပေးခြင်း လိုအပ်သည်။,,,,,
KCH,10,အာလူး,ဟင်းသီးဟင်းရွက်ပင်,၁,၂.၅,၂,အသင့်အတင့်,အပြည့်အဝ,မရ,ရ,ရ,၀.၂၅,၀.၄,၂,၂.၅,၁.၆,၁,၄°C,၃၀°C,ချက်ပြုတ် (ပြုတ်၊ ကြော်၊ ဖုတ်)၊ ကစီဓာတ်ရင်းမြစ်,မြေအောက်တွင် ဥတက်သော အပင်ဖြစ်ပြီး မြေပွကို နှစ်သက်ကာ ဥများ ကောင်းစွာ ဖွံ့ဖြိုးရန် ဘောင်တင်ပေးခြင်း (သို့) ပင်ခြေမြေဖို့ပေးခြင်း လိုအပ်သည်။,,,,,
SHN_S,11,ချင်း (ဂျင်း),ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၄,အသင့်အတင့်,အသင့်အတင့်,ရ,ရ,ရ,၀.၅,၁,၂,၂,၁.၂,၄,၁၂°C,၃၅°C,ဟင်းချက် (လက်ဖက်ရည်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (အစာချေ၊ အော့အန်သက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သည့် မွှေးကြိုင်သော မြေအောက်တက်မျိုးဖြစ်ပြီး ပူနွေးစိုစွတ်သော ရာသီဥတုနှင့် နေရောင်ခြည် တစ်စိတ်တစ်ပိုင်းရသော နေရာကို နှစ်သက်သည်။,,,,,
KYN,11,ချင်း (ဂျင်း),ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၄,အသင့်အတင့်,အသင့်အတင့်,ရ,ရ,ရ,၀.၅,၁,၂,၂,၁.၂,၄,၁၂°C,၃၅°C,ဟင်းချက် (လက်ဖက်ရည်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (အစာချေ၊ အော့အန်သက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သည့် မွှေးကြိုင်သော မြေအောက်တက်မျိုးဖြစ်ပြီး ပူနွေးစိုစွတ်သော ရာသီဥတုနှင့် နေရောင်ခြည် တစ်စိတ်တစ်ပိုင်းရသော နေရာကို နှစ်သက်သည်။,,,,,
TNY,11,ချင်း (ဂျင်း),ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၄,အသင့်အတင့်,အသင့်အတင့်,ရ,ရ,ရ,၀.၅,၁,၂,၂,၁.၂,၄,၁၂°C,၃၅°C,ဟင်းချက် (လက်ဖက်ရည်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (အစာချေ၊ အော့အန်သက်သာ),အစို သို့မဟုတ် အခြောက် အသုံးပြုနိုင်သည့် မွှေးကြိုင်သော မြေအောက်တက်မျိုးဖြစ်ပြီး ပူနွေးစိုစွတ်သော ရာသီဥတုနှင့် နေရောင်ခြည် တစ်စိတ်တစ်ပိုင်းရသော နေရာကို နှစ်သက်သည်။,,,,,
SHN_S,12,နနွင်း,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၄,အသင့်အတင့်,အသင့်အတင့်,ရ,ရ,ရ,၀.၅,၁,၂,၂,၁.၂,၄,၁၀°C,၃၅°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဟင်း)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ ဓာတ်တိုးဆန့်ကျင်),ဟင်းချက်ရာနှင့် တိုင်းရင်းဆေးဝါးများတွင် သုံးစွဲသော ရွှေဝါရောင် မြေအောက်တက်မျိုးဖြစ်ပြီး ချင်း(ဂျင်း)ကဲ့သို့သော စိုက်ပျိုးမှုအခြေအနေများကို လိုအပ်သည်။,,,,,
KYN,12,နနွင်း,ဟင်းသီးဟင်းရွက်ပင်,၁,၃,၄,အသင့်အတင့်,အသင့်အတင့်,ရ,ရ,ရ,၀.၅,၁,၂,၂,၁.၂,၄,၁၀°C,၃၅°C,ဟင်းချက် (အမွှေးအကြိုင်၊ ဟင်း)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ ဓာတ်တိုးဆန့်ကျင်),ဟင်းချက်ရာနှင့် တိုင်းရင်းဆေးဝါးများတွင် သုံးစွဲသော ရွှေဝါရောင် မြေအောက်တက်မျိုးဖြစ်ပြီး ချင်း(ဂျင်း)ကဲ့သို့သော စိုက်ပျိုးမှုအခြေအနေများကို လိုအပ်သည်။,,,,,
